"","age","age2","dom.decid","dom.pine","dom.mixed","dom.spruce","dom.Bspr","dom.larch","dom.low","dom.open"
"BG_16_97",100,9999.99999999999,1,0,0,0,0,0,0,0
"BG_16_98",99.1940322734252,9839.45603866132,0.719026651565109,0,0.200010321812903,0,0,0,0,0
"BG_17_22",80,6400,0.806723334943652,0,0,0,0,0,0,0
"BG_17_29",15.3685224658951,236.191482784723,0.912759360028437,0,0,0,0,0,0,0
"BG_17_30",44.5403410835265,1983.84198383688,0.854463039992711,0,0,0,0,0,0,0
"BG_17_31",39.8656696488732,1589.27161655309,1,0,0,0,0,0,0,0
"BG_17_32",92.9733896542646,8644.05118380372,1,0,0,0,0,0,0,0
"BG_17_39",11.2874801155698,127.407207359384,0,0,1,0,0,0,0,0
"BG_17_40",47.9113789927865,2295.50023699042,0.0510466542092098,0,0.948936467487723,0,0,0,0,0
"BG_17_43",90.0406881779696,8107.32552756235,0.859704514321227,0,0,0,0,0,0,0
"BG_17_44",87.9570004348545,7736.43392549699,0.560387630817369,0,0,0.303648562579154,0,0,0,0
"BG_17_47",13.5463571478472,183.50379197703,0,1,0,0,0,0,0,0
"BG_17_48",22.8809631818524,523.538476129283,0,1,0,0,0,0,0,0
"BG_17_53",94.3109200493604,8894.54964055685,1,0,0,0,0,0,0,0
"BG_17_54",75.5060315881945,5701.16080619742,1,0,0,0,0,0,0,0
"BG_17_57",19.1782847250186,367.806604993883,0.984280105012825,0.0111759140993823,0,0,0,0,0,0
"BG_17_58",20.6387033222079,425.956074822114,1,0,0,0,0,0,0,0
"BG_17_71",73.9880433912926,5474.2305648718,0.762174891523447,0,0.213940628533885,0,0,0,0,0
"BG_17_79",95.7050844139399,9159.46318267936,0.272990375475322,0.726994527362069,0,0,0,0,0,0
"BG_17_80",68.2221008999221,4654.25505119915,1,0,0,0,0,0,0,0
"BG_17_81",113.012781808603,12771.888852119,0.69326645417847,0,0,0.213051051173135,0,0,0,0
"BG_17_83",53.4765050203113,2859.73658918738,0.939791379619825,0,0.0588472007783373,0,0,0,0,0
"BG_17_84",73.291194220425,5371.59915025605,0.126975384594024,0,0.780380829295233,0,0,0,0,0
"BG_17_87",74.107600446126,5491.93644388265,1,0,0,0,0,0,0,0
"BG_17_88",68.8674124353333,4742.7204955383,0.980094385183222,0,0,0,0,0,0,0
"BG_17_93",64.5333380726544,4164.5517227995,0.183032117834759,0,0.218442865920551,0,0,0,0.0985111276297397,0
"BG_17_94",79.9507720518998,6392.12595169484,1,0,0,0,0,0,0,0
"BG_17_97",100,10000,1,0,0,0,0,0,0,0
"BG_17_98",95.5493026742863,9129.66924154238,1,0,0,0,0,0,0,0
"BG_18_21",60,3600,0,0,0,0,0,0.999741954258142,0,0
"BG_18_22",55.9325884398693,3128.4544495838,0,0,0,1,0,0,0,0
"BG_18_31",71.3050310150801,5084.40744806154,0,0,0,0,0.513133477988821,0.23613409527655,0,0
